Date,AOR_Key,Encounter_Count,Count_of_Event,Sum_Qty_(lbs)
2022-03-01,MIAMI SECTOR,485.0,13.0,27.952
2022-03-01,NEW ORLEANS,1054.0,165.0,743.250486592805
2022-03-01,NEW YORK,813.0,1933.0,9497.180952112309
2022-03-01,PORTLAND FIELD,217.0,4.0,3.674664983016
2022-03-01,PRECLEARANCE FIELD,698.0,42.0,2.8171549687408
2022-03-01,RAMEY SECTOR,100.0,3.0,283.86940000000004
2022-03-01,RIO GRANDE,44072.0,70.0,4362.5262999999995
2022-03-01,SAN DIEGO,23298.0,376.0,8962.531556240097
2022-03-01,SAN FRANCISCO,1058.0,221.0,225.2900989368594
2022-03-01,SAN JUAN,500.0,137.0,1244.8094299436773
2022-03-01,SEATTLE FIELD,2685.0,251.0,57.499071199386805
2022-03-01,SPOKANE SECTOR,1.0,0.0,0.0
2022-03-01,SWANTON SECTOR,61.0,0.0,0.0
2022-03-01,TAMPA FIELD,557.0,74.0,33.087196743222
2022-03-01,TUCSON FIELD,759.0,88.0,1571.8075667853905
2022-03-01,TUCSON SECTOR,27239.0,92.0,164.4168
2022-03-01,YUMA SECTOR,30927.0,14.0,71.1159
2022-04-01,ATLANTA FIELD,892.0,13.0,8.6555027297034
2022-04-01,BALTIMORE FIELD,1097.0,121.0,690.7369710325124
2022-04-01,BIG BEND,3383.0,75.0,1171.4138
2022-04-01,BLAINE SECTOR,42.0,9.0,0.49260000000000004
2022-04-01,BOSTON FIELD,1664.0,36.0,12.0988807536552
2022-04-01,BUFFALO FIELD,5093.0,136.0,2888.0516197868315
2022-04-01,BUFFALO SECTOR,1.0,2.0,0.34950000000000003
2022-04-01,CHICAGO FIELD,466.0,689.0,4987.9056786222145
2022-04-01,DEL RIO,40931.0,16.0,1.3797000000000001
2022-04-01,DETROIT FIELD,652.0,94.0,154.12986321038062
2022-04-01,DETROIT SECTOR,4.0,2.0,0.31020000000000003
2022-04-01,EL CENTRO,6248.0,20.0,294.5158
2022-04-01,EL PASO,31306.0,184.0,1424.44209300544
2022-04-01,GRAND FORKS,10.0,0.0,0.0
2022-04-01,HAVRE SECTOR,8.0,0.0,0.0
2022-04-01,HOULTON SECTOR,48.0,5.0,0.3593
2022-04-01,HOUSTON FIELD,5670.0,67.0,148.5781825286966
2022-04-01,LAREDO FIELD,6994.0,98.0,9158.418838739144
2022-04-01,LAREDO SECTOR,12577.0,18.0,254.7003
2022-04-01,LOS ANGELES,1459.0,202.0,897.9976441367855
2022-04-01,MIAMI FIELD,1373.0,873.0,1839.0270085461843
2022-04-01,MIAMI SECTOR,207.0,19.0,127.79650000000001
2022-04-01,NEW ORLEANS,1182.0,116.0,1398.7094171534704
2022-04-01,NEW YORK,779.0,1513.0,10440.963228787301
2022-04-01,PORTLAND FIELD,114.0,3.0,0.50265395736
2022-04-01,PRECLEARANCE FIELD,771.0,29.0,27.3123862061678
2022-04-01,RAMEY SECTOR,72.0,2.0,538.0994
2022-04-01,RIO GRANDE,41922.0,72.0,2259.765
2022-04-01,SAN DIEGO,37803.0,299.0,7206.882770061795
2022-04-01,SAN FRANCISCO,962.0,63.0,204.87478641245679
2022-04-01,SAN JUAN,628.0,128.0,4390.833488512653
2022-04-01,SEATTLE FIELD,2294.0,117.0,42.9627817232858
2022-04-01,SPOKANE SECTOR,9.0,2.0,0.038400000000000004
2022-04-01,SWANTON SECTOR,84.0,3.0,108.6373
2022-04-01,TAMPA FIELD,457.0,71.0,840.1100743393024
2022-04-01,TUCSON FIELD,945.0,94.0,1279.8963075881438
2022-04-01,TUCSON SECTOR,25281.0,97.0,445.5702
2022-04-01,YUMA SECTOR,28681.0,7.0,16.483600000000003
2022-05-01,ATLANTA FIELD,1252.0,17.0,25.8878031615762
2022-05-01,BALTIMORE FIELD,985.0,137.0,450.185702702096
2022-05-01,BIG BEND,2880.0,92.0,2280.3172
2022-05-01,BLAINE SECTOR,61.0,1.0,0.0181
2022-05-01,BOSTON FIELD,1609.0,58.0,284.6784655829074
2022-05-01,BUFFALO FIELD,6235.0,87.0,21.872038966793802
2022-05-01,BUFFALO SECTOR,9.0,2.0,0.0872
2022-05-01,CHICAGO FIELD,1653.0,598.0,4690.516946340674
2022-05-01,DEL RIO,44735.0,18.0,0.6109999999999999
2022-05-01,DETROIT FIELD,880.0,135.0,2227.3503391442946
2022-05-01,DETROIT SECTOR,8.0,4.0,16.1064
2022-05-01,EL CENTRO,6996.0,21.0,268.89750000000004
2022-05-01,EL PASO,36302.0,183.0,950.9766605947276
2022-05-01,GRAND FORKS,7.0,0.0,0.0
2022-05-01,HAVRE SECTOR,10.0,0.0,0.0
2022-05-01,HOULTON SECTOR,22.0,4.0,0.125
2022-05-01,HOUSTON FIELD,5700.0,102.0,10568.209901723176
2022-05-01,LAREDO FIELD,7264.0,87.0,2475.3388357446024
2022-05-01,LAREDO SECTOR,11682.0,38.0,436.0719
2022-05-01,LOS ANGELES,1942.0,215.0,1339.9368236514144
2022-05-01,MIAMI FIELD,2055.0,776.0,810.4367136769242
2022-05-01,MIAMI SECTOR,289.0,8.0,38.2428
2022-05-01,NEW ORLEANS,952.0,140.0,546.970840342716
2022-05-01,NEW YORK,2447.0,905.0,2409.605984076492
2022-05-01,PORTLAND FIELD,471.0,8.0,140.477230572828
2022-05-01,PRECLEARANCE FIELD,816.0,47.0,2.2807702852948
2022-05-01,RAMEY SECTOR,214.0,1.0,649.3725
2022-05-01,RIO GRANDE,46011.0,62.0,2196.9626000000003
2022-05-01,SAN DIEGO,24196.0,308.0,9881.822900478639
2022-05-01,SAN FRANCISCO,1561.0,129.0,430.9615698255056
2022-05-01,SAN JUAN,512.0,116.0,1966.0544097162735
2022-05-01,SEATTLE FIELD,2755.0,115.0,309.0971082305158
2022-05-01,SPOKANE SECTOR,10.0,3.0,0.2838
2022-05-01,SWANTON SECTOR,70.0,4.0,0.3314
2022-05-01,TAMPA FIELD,973.0,36.0,9.8738653744202
2022-05-01,TUCSON FIELD,1118.0,70.0,1107.3106445304693
